COMUNE,NOME_COMUNE,PROVINCIA,NOME_PROVINCIA,REGIONE,NOME_REGIONE,DATA_DECESSO2020,MESE_DECESSO,GIORNO_DECESSO,DECESSI_2015,DECESSI_2016,DECESSI_2017,DECESSI_2018,DECESSI_2019,DECESSI_2020
77014,Matera,77,Matera,17,Basilicata,20/04/2020,4,20,1,3,1,2,0,0
77014,Matera,77,Matera,17,Basilicata,21/04/2020,4,21,1,0,1,2,0,10
77014,Matera,77,Matera,17,Basilicata,22/04/2020,4,22,0,1,1,0,1,0
77014,Matera,77,Matera,17,Basilicata,23/04/2020,4,23,2,5,2,2,1,0
77014,Matera,77,Matera,17,Basilicata,24/04/2020,4,24,2,1,1,2,3,3
77014,Matera,77,Matera,17,Basilicata,25/04/2020,4,25,2,3,0,1,2,0
77014,Matera,77,Matera,17,Basilicata,26/04/2020,4,26,3,2,4,2,2,0
77014,Matera,77,Matera,17,Basilicata,27/04/2020,4,27,0,0,0,4,0,3
77014,Matera,77,Matera,17,Basilicata,28/04/2020,4,28,0,2,4,3,4,5
77014,Matera,77,Matera,17,Basilicata,29/04/2020,4,29,1,2,1,2,0,0
77014,Matera,77,Matera,17,Basilicata,30/04/2020,4,30,2,0,0,4,1,6
